"","address","lon","lat"
"158","Baridhara, Dhaka",90.420766,23.7998984
"159","Block K, Bashundhara R-A, Dhaka",90.4449304,23.8228845
"160","Block F, aziz Moholla, Mohammadpur, Dhaka",90.3673477,23.7559861
"161","Block B, Niketan, Dhaka",90.4125181,23.810332
"162","Eastern Pallabi, Pallabi, Mirpur, Dhaka",90.361302,23.8260765
"163","Road No 5, Block B, Section 12, Mirpur, Dhaka",90.3687671,23.8242065
"164","Lake View Society, South Pirerbag, Pirerbag, Mirpur, Dhaka",90.3703453,23.7875225
"165","Paikpara, Mirpur, Dhaka",90.3595372,23.7881532
"166","Ranavola Avenue, Sector 10, Uttara, Dhaka",90.3864567,23.8854879
"167","Hazaribag, Dhaka",90.363067,23.7360834
"168","West Agargaon, Agargaon, Dhaka",90.3693678,23.7807183
"169","Agargaon, Dhaka",90.3736584,23.7791954
"170","Bangshal, Dhaka",90.4007384,23.71814
"171","Block E, Lalmatia, Dhaka",90.3668914,23.7550403
"172","Lalmatia, Dhaka",90.3689508,23.7554073
"173","Block A, Chandrima Model Town, Mohammadpur, Dhaka",90.3587745,23.7661386
"174","Ahmed Nagar, Mirpur, Dhaka",90.3589489,23.7933605
"175","Block C, Chandrima Model Town, Mohammadpur, Dhaka",90.3587745,23.7661386
"176","Pallabi Extension, Pallabi, Mirpur, Dhaka",90.3589489,23.8231074
"177","Bhagalpur, Hazaribag, Dhaka",90.3754239,23.7248973
"178","Vhatara Road, Natun Bazar, Badda, Dhaka",90.4271565,23.7984791
"179","Motijheel, Dhaka",90.417231,23.7329724
"180","Block A, Sat Masjid Housing, Mohammadpur, Dhaka",90.3522887,23.7580009
"181","Kakrail, Dhaka",90.4072168,23.7382053
"182","Block E, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",90.3599702,23.7536428
"183","Banani DOHS, Dhaka",90.3989717,23.7932628
"184","West Kafrul, Taltola, Dhaka",90.376601,23.7858817
"185","Block A, Niketan, Dhaka",90.4125181,23.810332
"186","Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",90.3590934,23.7734206
"187","Block K, South Banasree Project, Banasree, Dhaka",90.4409834,23.7548337
"188","East Ahmed Nagar, Ahmed Nagar, Mirpur, Dhaka",90.3624235,23.7966293
"189","Goltek, Cantonment, Dhaka",90.3887414,23.8320522
"190","East Badda, Badda, Dhaka",90.4266584,23.7805462
"191","Shegunbagicha, Dhaka",90.4066278,23.7315129
"192","Shantinagar, Dhaka",90.4142853,23.7381866
"193","Khaje Dewan, Lalbagh, Dhaka",90.3919059,23.7203939
"194","Rayer Bazaar, Hazaribag, Dhaka",90.3618904,23.7435238
"195","East Kazipara, Mirpur, Dhaka",90.3760125,23.8000133
"196","Matikata, Cantonment, Dhaka",90.3904885,23.8204367
"197","Vashantek, Cantonment, Dhaka",90.3896806,23.8074436
"198","Rupnagar R/A, Mirpur, Dhaka",90.3558058,23.8085164
"199","South Badda, Badda, Dhaka",90.4225336,23.7753515
"200","East Rampura, Rampura, Dhaka",90.4254798,23.7582378
"201","Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",90.4138364,23.7640558
"202","Moneshwar, Hazaribag, Dhaka",90.3727757,23.7297383
"203","Uttara, Dhaka",90.3795438,23.8758547
